timestamp,AAPL,MSFT,GOOGL,AMZN,NVDA,META,TSLA,AVGO,ORCL,ADBE,JPM,BAC,WFC,GS,MS,UNH,LLY,ABBV,MRK,PFE,WMT,HD,MCD,NKE,COST,SBUX,TGT,LOW,DIS,CMCSA,GLD
2020-07-27 04:00:00,379.44,203.84,1528.99,3055.6,416.955,233.66,1542.59,312.215,55.34,437.31,96.9,24.14,25.485,203.09,51.325,298.74,160.48,97.14,78.93,37.59,131.21,267.48,201.29,97.21,327.695,76.47,122.58,149.11,116.38,43.635,182.23
2020-07-28 04:00:00,373.19,202.15,1504.43,3000.22,409.19,230.0,1479.35,307.625,55.34,432.36,97.39,24.365,25.525,201.65,50.255,299.94,162.54,96.75,79.64,39.015,131.78,264.97,196.21,96.255,327.61,74.66,123.3,147.72,116.12,43.195,183.89
2020-07-29 04:00:00,380.09,204.16,1523.51,3034.52,418.87,233.27,1499.28,308.41,55.685,436.21,99.685,25.255,25.785,202.87,50.57,306.47,161.74,96.97,79.3,39.275,130.69,264.67,196.33,96.935,326.2,77.53,123.68,148.69,115.56,43.94,185.095
2020-07-30 04:00:00,384.98,203.86,1536.64,3051.17,424.26,234.69,1487.5,312.0,55.22,438.73,96.935,24.835,24.645,199.55,48.92,305.06,152.98,96.075,78.96,38.73,130.11,266.26,195.44,96.79,324.76,76.62,124.53,149.16,115.63,43.63,183.76
2020-07-31 04:00:00,425.4,205.0,1488.07,3164.2,423.99,253.71,1431.66,316.45,55.46,443.33,96.505,24.875,24.25,198.14,48.905,302.87,150.25,94.96,80.33,38.475,129.44,265.56,194.35,97.635,325.66,76.52,125.91,148.95,117.0,42.81,185.49
2020-08-03 04:00:00,435.24,216.61,1482.66,3112.565,440.38,251.69,1485.11,320.85,56.05,448.2,96.095,24.985,24.29,199.34,49.45,303.58,152.83,96.03,82.57,38.355,129.33,266.26,194.39,98.34,329.23,75.5,127.79,150.29,116.4,42.885,185.705
2020-08-04 04:00:00,438.71,213.33,1472.14,3135.69,448.81,249.3,1487.54,328.16,55.97,446.8,95.565,25.0,24.205,201.6,49.255,304.2,154.75,94.17,81.59,38.345,131.59,267.715,199.22,97.26,339.46,75.09,130.36,149.55,117.275,43.19,189.545
2020-08-05 04:00:00,440.24,212.99,1480.0,3205.62,451.38,249.22,1486.3,329.3,55.505,449.47,97.315,25.39,24.405,204.58,49.77,312.67,154.4,93.22,81.615,38.455,129.8,267.52,199.34,100.99,340.01,75.79,129.37,150.33,127.65,42.31,191.39
2020-08-06 04:00:00,455.19,216.32,1504.07,3225.22,453.41,265.31,1491.3,329.19,55.295,464.24,97.23,25.465,24.25,204.29,49.46,314.04,152.825,92.54,81.1,38.25,129.31,269.4,203.14,100.46,343.38,75.67,129.03,151.24,130.81,42.855,193.9
2020-08-07 04:00:00,444.38,212.49,1497.455,3166.925,447.95,268.58,1453.46,325.73,55.235,448.84,99.435,26.115,25.09,208.3,50.355,317.32,152.97,92.91,80.97,38.42,129.93,271.63,204.57,101.83,340.85,75.79,131.6,152.745,129.92,42.805,190.76
2020-08-10 04:00:00,451.01,208.18,1496.9,3150.34,446.57,263.06,1419.81,327.37,54.895,442.73,100.62,26.58,24.695,209.345,50.575,319.16,153.0,92.225,80.85,38.395,131.905,274.78,204.13,105.395,339.99,77.48,132.91,153.71,128.73,43.025,190.19
2020-08-11 04:00:00,437.58,203.57,1480.13,3080.82,433.58,256.19,1373.1,324.2,54.23,435.02,103.72,26.925,25.305,210.97,51.77,315.51,150.58,92.675,80.9,37.8,130.16,275.05,204.93,105.14,332.1,78.905,131.74,153.84,130.53,43.015,179.955
2020-08-12 04:00:00,452.23,209.255,1506.9,3160.52,457.4,259.76,1554.34,333.51,54.165,445.37,102.93,26.725,25.19,212.23,52.405,322.31,152.65,95.525,82.73,38.355,131.91,281.65,206.13,105.29,336.77,79.32,134.67,156.65,131.78,43.32,179.19
2020-08-13 04:00:00,459.66,208.64,1515.19,3159.56,457.35,261.35,1621.05,329.6,54.015,450.16,102.395,26.345,25.025,208.28,52.17,321.37,150.36,94.61,83.57,38.175,131.845,281.68,206.5,106.575,335.64,78.975,134.785,155.71,131.03,43.355,183.3
2020-08-14 04:00:00,459.6,208.87,1502.52,3147.5,462.4,261.055,1650.71,327.48,54.195,447.5,102.39,26.475,25.3,208.0,52.33,323.86,150.08,95.07,83.525,38.065,132.515,280.48,207.03,106.37,336.18,78.34,136.54,154.335,130.46,43.765,182.545
2020-08-17 04:00:00,458.73,210.2,1516.365,3184.43,493.67,261.23,1834.57,330.12,53.98,451.71,99.67,25.885,24.465,202.91,51.275,320.37,151.53,96.35,84.75,38.34,135.62,288.335,208.61,105.64,339.96,78.905,138.19,158.41,129.33,43.55,186.515
2020-08-18 04:00:00,462.23,211.54,1557.03,3312.22,490.61,262.15,1889.045,328.53,55.17,463.65,98.285,25.54,24.045,201.22,50.92,316.625,153.11,95.64,84.56,38.365,134.56,284.98,210.29,106.96,340.59,78.95,136.89,157.96,128.91,43.545,188.27
2020-08-19 04:00:00,463.07,209.83,1544.77,3260.56,485.92,262.64,1878.94,329.285,56.215,462.39,98.525,25.51,24.07,203.19,51.365,315.38,152.37,96.1,85.025,38.265,132.46,282.91,209.57,108.41,340.77,77.65,154.2,158.37,127.775,43.305,182.25
2020-08-20 04:00:00,473.32,214.55,1575.09,3296.29,485.56,269.08,2001.07,328.85,55.235,478.57,97.43,25.115,23.755,202.0,50.79,313.45,151.375,95.14,85.03,38.725,130.56,280.75,209.99,108.1,340.81,77.23,152.34,158.63,128.06,43.265,183.51
2020-08-21 04:00:00,497.66,213.17,1575.245,3285.275,507.24,267.06,2049.485,330.33,55.17,473.42,97.39,24.995,23.635,202.42,51.12,314.16,149.27,94.895,84.94,38.89,131.6,283.26,211.61,109.75,344.685,77.075,153.61,161.72,127.41,43.055,182.05
2020-08-24 04:00:00,503.19,213.71,1583.9,3305.8,508.28,271.38,2015.02,333.71,55.99,476.375,100.02,25.685,24.485,207.24,52.355,308.55,149.445,94.5,85.365,38.845,131.24,286.79,212.485,111.79,344.2,78.6,153.22,165.59,130.64,43.775,180.995
2020-08-25 04:00:00,499.75,216.48,1605.85,3345.84,510.23,280.67,2024.365,336.045,56.115,484.38,100.52,26.015,24.62,205.985,52.055,312.32,149.8,94.045,85.66,38.395,130.6,286.06,212.62,111.54,344.75,82.725,152.84,165.93,129.795,43.405,181.19
2020-08-26 04:00:00,506.07,221.15,1646.52,3440.52,510.88,303.68,2151.67,339.78,57.445,528.74,99.1,25.56,24.045,207.1,51.705,308.92,149.29,94.32,85.53,38.055,130.68,291.96,213.7,111.46,344.2,82.34,152.71,170.45,132.12,44.185,183.35
2020-08-27 04:00:00,500.28,226.77,1629.94,3399.7,504.76,293.34,2237.825,339.19,57.175,510.5,102.365,26.045,24.595,210.21,52.615,311.69,148.97,94.27,85.835,37.865,136.65,288.77,212.15,110.87,346.3,83.47,150.335,166.37,133.76,44.575,181.17
2020-08-28 04:00:00,499.345,229.05,1638.67,3401.28,525.83,293.56,2215.57,344.68,57.885,516.67,102.84,26.31,24.685,207.54,52.895,314.3,147.38,94.185,85.66,37.875,140.28,286.31,214.86,112.295,348.17,84.985,150.72,165.57,135.55,44.565,184.37
2020-08-31 04:00:00,129.11,225.0,1632.005,3453.215,534.93,293.99,498.71,347.14,57.22,513.92,100.17,25.765,24.18,204.95,52.305,312.69,148.64,95.835,85.34,37.8,138.855,284.93,213.6,112.0,347.89,84.645,151.365,164.895,132.05,44.895,184.85
2020-09-01 04:00:00,134.46,227.39,1655.39,3500.16,553.14,295.6,475.045,359.48,57.665,528.17,100.19,25.73,24.05,205.31,52.58,312.81,147.31,92.17,84.405,36.895,147.595,286.03,212.7,114.87,351.43,86.075,150.49,167.515,133.53,45.055,185.025
2020-09-02 04:00:00,131.58,231.48,1718.525,3531.685,573.94,302.87,447.425,375.23,59.07,534.075,101.655,26.015,24.565,210.19,53.285,320.495,149.58,93.945,86.97,37.195,147.77,287.17,216.235,116.84,358.78,88.39,149.86,170.635,135.41,45.185,182.61
2020-09-03 04:00:00,121.0,217.44,1632.02,3370.32,520.65,291.72,407.115,352.73,57.09,507.805,101.32,25.645,24.515,207.52,52.79,316.55,149.12,91.89,85.465,36.385,144.53,274.72,213.78,112.85,348.6,86.53,146.06,161.55,133.24,44.5,181.15
2020-09-04 04:00:00,121.11,214.44,1581.87,3294.19,504.69,282.89,418.39,363.335,55.72,492.2,103.595,26.535,24.78,210.94,52.725,311.9,150.94,91.89,85.26,36.345,142.92,269.84,211.71,112.42,346.75,86.315,147.38,156.39,131.97,44.49,181.675
2020-09-08 04:00:00,112.75,202.75,1520.64,3144.76,475.76,270.98,330.1,350.7,55.26,462.0,99.905,25.475,23.97,202.53,50.145,307.245,149.23,90.235,83.32,35.915,138.46,269.17,213.35,112.67,338.73,85.385,143.97,153.68,134.1,43.78,181.295
2020-09-09 04:00:00,117.34,211.18,1544.68,3274.11,508.65,273.41,366.1,359.94,56.965,479.21,100.93,25.515,23.865,202.175,51.03,312.08,152.03,91.67,84.9,36.19,139.915,277.0,215.78,114.87,346.18,85.885,147.63,159.59,133.37,44.61,182.985
2020-09-10 04:00:00,113.465,205.05,1527.84,3179.1,493.09,267.785,371.2,357.03,56.81,475.97,99.97,25.13,23.935,200.07,50.34,304.38,146.145,89.64,83.555,35.655,136.865,272.655,217.24,114.82,339.95,84.93,146.01,158.315,133.14,44.075,182.46
2020-09-11 04:00:00,112.08,204.14,1517.34,3117.755,487.11,266.62,372.85,359.94,57.0,471.57,101.075,25.5,24.305,200.99,50.385,301.66,148.07,89.67,84.48,36.085,136.71,276.31,218.07,118.165,339.13,85.34,147.67,161.84,131.8,44.69,182.405
2020-09-14 04:00:00,115.3,205.29,1508.78,3101.93,514.71,266.03,419.63,362.54,59.495,485.97,102.59,25.785,24.84,201.37,51.185,308.64,149.03,90.45,84.21,37.015,137.305,280.53,220.8,119.4,343.12,86.68,148.37,165.24,131.25,45.33,183.9
2020-09-15 04:00:00,115.52,208.84,1533.755,3152.3,519.66,272.53,450.27,367.39,61.015,497.535,99.34,25.275,24.945,198.09,50.42,307.42,150.07,90.92,84.2,36.96,137.26,285.72,222.39,119.23,343.96,87.78,149.16,168.92,131.27,46.505,183.47
2020-09-16 04:00:00,112.14,204.96,1511.85,3077.275,500.59,263.53,442.05,367.07,60.37,475.56,99.75,25.61,25.71,200.69,51.135,306.56,151.025,89.79,85.635,36.795,136.2,281.68,224.76,118.5,343.66,88.35,147.98,166.72,132.11,46.825,183.9
2020-09-17 04:00:00,110.41,202.99,1488.78,3008.96,498.55,254.92,423.16,365.8,60.15,473.99,98.57,25.355,25.125,194.77,50.26,304.84,152.54,89.64,85.685,36.82,136.7,279.92,222.65,116.36,338.72,86.68,147.58,163.75,130.21,45.575,182.985
2020-09-18 04:00:00,106.86,200.18,1451.15,2959.98,487.47,252.72,441.69,359.33,59.76,467.52,98.34,25.21,25.135,194.79,50.11,308.08,154.14,90.14,85.82,36.645,135.325,275.26,220.325,114.635,336.34,84.92,148.96,160.22,128.64,45.29,183.18
