fold,test_start,test_end,test_return,test_trades
1,2021-10-11,2022-01-08,2.1608842657807252,1
2,2022-01-09,2022-04-08,8.16445873331884,1
3,2022-04-09,2022-07-07,-10.518886060233548,1
4,2022-07-08,2022-10-05,-1.9895873932307442,1
5,2022-10-06,2023-01-03,8.053937642900172,1
6,2023-01-04,2023-04-03,7.26307538552412,1
7,2023-04-04,2023-07-02,-6.2702885491931815,1
8,2023-07-03,2023-09-30,-1.4264153740511976,1
9,2023-10-01,2023-12-29,9.10169435691068,1
10,2023-12-30,2024-03-28,9.16226412913727,1
11,2024-03-29,2024-06-26,3.3263005038121336,1
12,2024-06-27,2024-09-24,15.05368932017246,1
13,2024-09-25,2024-12-23,-1.2904935026105377,1
14,2024-12-24,2025-03-23,16.171017427817628,1
15,2025-03-24,2025-06-21,12.596316757197435,1
16,2025-06-22,2025-09-19,8.37056370081108,1
