,0
2023-10-11,100000.0
2023-10-12,99903.54961121111
2023-10-13,101054.50776295626
2023-10-14,101134.23496445859
2023-10-15,101171.69698665022
2023-10-16,100924.75743731132
2023-10-17,101165.85249465438
2023-10-18,101747.0605394349
2023-10-19,102287.33436104408
2023-10-20,102395.8447093745
2023-10-21,102387.54657207528
2023-10-22,102478.88465745354
2023-10-23,102188.02030134409
2023-10-24,102125.61505468245
2023-10-25,102318.54837397512
2023-10-26,102406.79499643798
2023-10-27,103000.0434757311
2023-10-28,103012.95277403151
2023-10-29,102851.87779362487
2023-10-30,102728.8961446789
2023-10-31,102501.15946130185
2023-11-01,102423.31317092068
2023-11-02,102311.13537132114
2023-11-03,102591.93457501236
2023-11-04,102451.76764642828
2023-11-05,102240.04799512446
2023-11-06,102161.37189101338
2023-11-07,101923.47893841636
2023-11-08,101487.80720517825
2023-11-09,101871.44473629301
2023-11-10,101300.25303135837
2023-11-11,101199.12965231
2023-11-12,101152.8097753229
2023-11-13,101472.67856192174
2023-11-14,101753.37363212528
2023-11-15,101803.80027353264
2023-11-16,102225.92814502983
2023-11-17,102457.93104723013
2023-11-18,102305.47636710023
2023-11-19,102309.7621109524
2023-11-20,102261.72077724714
2023-11-21,102754.71148710822
2023-11-22,102827.58865762432
2023-11-23,102774.00546987177
2023-11-24,102935.57508434488
2023-11-25,102885.65283951844
2023-11-26,102900.9604622069
2023-11-27,103295.42136769704
2023-11-28,103908.81642268407
2023-11-29,103969.80285057613
2023-11-30,103890.3620161649
2023-12-01,104641.59401294927
2023-12-02,104515.47859685853
2023-12-03,105591.31094558805
2023-12-04,103974.98999993101
2023-12-05,103662.6090619304
2023-12-06,103512.28911829785
2023-12-07,103799.73984851441
2023-12-08,103410.81103455709
2023-12-09,103153.81934948592
2023-12-10,103045.48798058744
2023-12-11,102484.61850761872
2023-12-12,102357.63097356871
2023-12-13,103507.12800231489
2023-12-14,103773.37129693183
2023-12-15,103405.1097261068
2023-12-16,103156.80667891364
2023-12-17,103194.68523505596
2023-12-18,103607.61356375123
2023-12-19,103882.43160024403
2023-12-20,103665.10175729166
2023-12-21,104094.83462756072
2023-12-22,104092.82029540848
2023-12-23,104079.01284577687
2023-12-24,104102.44938884708
2023-12-25,104135.65170055843
2023-12-26,104279.73990578784
2023-12-27,104734.7414176759
2023-12-28,104641.63306300715
2023-12-29,104318.64678012097
2023-12-30,104061.41103218806
2023-12-31,104021.62553155264
2024-01-01,104150.73803958556
2024-01-02,104202.73969999402
2024-01-03,103796.8468900599
2024-01-04,103923.00135620851
2024-01-05,103912.81254527366
2024-01-06,103789.74628786895
2024-01-07,103729.8239740541
2024-01-08,103549.98544083675
2024-01-09,103666.08126291011
2024-01-10,103334.12322922632
2024-01-11,103680.06769197366
2024-01-12,103916.74033026196
2024-01-13,103829.88974736826
2024-01-14,103848.00572005248
2024-01-15,104350.17970185801
2024-01-16,103774.99838267677
2024-01-17,103409.22299887003
2024-01-18,103680.87147233167
2024-01-19,103595.1012743726
2024-01-20,103626.53657096495
2024-01-21,103498.57929381094
2024-01-22,103288.35981556398
2024-01-23,103537.22908859639
2024-01-24,103407.50805049486
2024-01-25,103402.86760195026
2024-01-26,103287.76104800984
2024-01-27,103286.60907130242
2024-01-28,103500.06970435331
2024-01-29,103557.3756642903
2024-01-30,103724.81254995966
2024-01-31,103825.6593244314
2024-02-01,104252.7400449362
2024-02-02,103948.92408629699
2024-02-03,103833.39449006287
2024-02-04,103829.55782187628
2024-02-05,103435.76727571306
2024-02-06,103760.81670332383
2024-02-07,103727.70225424269
2024-02-08,103604.55464255073
2024-02-09,103399.65573468975
2024-02-10,103335.4802187376
2024-02-11,103451.18554023217
2024-02-12,103317.85562594834
2024-02-13,103077.6587199365
2024-02-14,102844.8487832067
2024-02-15,102857.94356928203
2024-02-16,102987.99002453256
2024-02-17,103015.43896104977
2024-02-18,103085.4166647684
2024-02-19,103027.09214915508
2024-02-20,103407.65448821189
2024-02-21,103387.64784189205
2024-02-22,103320.46221731175
2024-02-23,103542.28281692018
2024-02-24,103492.9593396479
2024-02-25,103512.83907327964
2024-02-26,103482.43860322109
2024-02-27,103442.6433400712
2024-02-28,103847.2279730664
2024-02-29,103197.31785979129
2024-03-01,103952.96576728743
2024-03-02,104140.60780373754
2024-03-03,103972.9008218345
2024-03-04,105154.20412272288
2024-03-05,105800.71688096254
2024-03-06,106284.17612252971
