,Value
Start,2020-11-04 00:00:00
End,2025-01-12 00:00:00
Period,1531 days 00:00:00
Start Value,100000.0
End Value,2017779.5965381488
Total Return [%],1917.7795965381488
Benchmark Return [%],1282.5207426189527
Max Gross Exposure [%],100.00000000000003
Total Fees Paid,61110.07341629194
Max Drawdown [%],46.315843317750485
Max Drawdown Duration,807 days 00:00:00
Total Trades,243
Total Closed Trades,235
Total Open Trades,8
Open Trade PnL,473583.6600381114
Win Rate [%],47.23404255319149
Best Trade [%],1599.4500110792846
Worst Trade [%],-100.04558039049374
Avg Winning Trade [%],79.4362704571124
Avg Losing Trade [%],-12.797701209661778
Avg Winning Trade Duration,87 days 19:27:34.054054054
Avg Losing Trade Duration,44 days 09:17:25.161290323
Profit Factor,2.317455614995762
Expectancy,6145.514623404419
Sharpe Ratio,1.4652670893667556
Calmar Ratio,2.2602830164669774
Omega Ratio,1.298403654045709
Sortino Ratio,2.2585429625559352
