,Value
Start,2020-11-04 00:00:00
End,2025-01-12 00:00:00
Period,1531 days 00:00:00
Start Value,100000.0
End Value,127342.48064258584
Total Return [%],27.34248064258583
Benchmark Return [%],1282.5207426189527
Max Gross Exposure [%],100.00000000000004
Total Fees Paid,4753.354230108765
Max Drawdown [%],66.3881974799553
Max Drawdown Duration,800 days 00:00:00
Total Trades,236
Total Closed Trades,226
Total Open Trades,10
Open Trade PnL,42208.46610944551
Win Rate [%],32.743362831858406
Best Trade [%],327.9526815542526
Worst Trade [%],-100.04558039049371
Avg Winning Trade [%],31.028878739918085
Avg Losing Trade [%],-16.323824036597838
Avg Winning Trade Duration,66 days 21:04:51.891891891
Avg Losing Trade Duration,51 days 20:50:31.578947368
Profit Factor,0.9123573485464387
Expectancy,-65.77869675601596
Sharpe Ratio,0.490061842995695
Calmar Ratio,0.08935000761640409
Omega Ratio,1.1351127661615785
Sortino Ratio,0.8493126500080301
