,Value
Start,2020-11-04 00:00:00
End,2025-01-12 00:00:00
Period,1531 days 00:00:00
Start Value,100000.0
End Value,468719.8281653204
Total Return [%],368.7198281653204
Benchmark Return [%],3690.985479934853
Max Gross Exposure [%],74.17342811856327
Total Fees Paid,9.99000999000964
Max Drawdown [%],63.365947338221964
Max Drawdown Duration,1162 days 00:00:00
Total Trades,1.0
Total Closed Trades,0.0
Total Open Trades,1.0
Open Trade PnL,368719.8281653204
Win Rate [%],
Best Trade [%],
Worst Trade [%],
Avg Winning Trade [%],
Avg Losing Trade [%],
Avg Winning Trade Duration,
Avg Losing Trade Duration,
Profit Factor,
Expectancy,
Sharpe Ratio,0.7319469530665679
Calmar Ratio,0.48026206668572036
Omega Ratio,1.133079618020768
Sortino Ratio,1.1683227008938488
