fold,train_start,train_end,test_start,test_end,test_return,test_trades
1,2012-07-01,2015-06-30,2015-07-01,2016-07-01,24.69585949848075,49
2,2013-01-01,2015-12-31,2016-01-01,2017-01-01,22.68953315591291,43
3,2013-07-01,2016-06-30,2016-07-01,2017-07-01,27.274575703054257,52
4,2014-01-01,2016-12-31,2017-01-01,2018-01-01,36.66610675804815,52
5,2014-07-01,2017-06-30,2017-07-01,2018-07-01,19.81329726707886,46
6,2015-01-01,2017-12-31,2018-01-01,2019-01-01,19.81352070424192,54
7,2015-07-01,2018-06-30,2018-07-01,2019-07-01,44.49224541814793,40
8,2016-01-01,2018-12-31,2019-01-01,2020-01-01,33.44437797072006,45
9,2016-07-01,2019-06-30,2019-07-01,2020-07-01,16.610703623370473,46
10,2017-01-01,2019-12-31,2020-01-01,2021-01-01,30.383953255903663,51
11,2017-07-01,2020-06-30,2020-07-01,2021-07-01,-5.2,64
12,2018-01-01,2020-12-31,2021-01-01,2022-01-01,8.1,52
13,2018-07-01,2021-06-30,2021-07-01,2022-07-01,-3.8,38
14,2019-01-01,2021-12-31,2022-01-01,2023-01-01,6.5,33
15,2019-07-01,2022-06-30,2022-07-01,2023-07-01,-0.47521310520695675,48
16,2020-01-01,2022-12-31,2023-01-01,2024-01-01,15.34756617009327,58
