,0
2021-03-30,100000.0
2021-03-31,100771.45166079728
2021-04-01,100690.46318702116
2021-04-02,102365.14844797467
2021-04-03,98902.08363883435
2021-04-04,105308.68445788816
2021-04-05,107990.2090218208
2021-04-06,112839.97544923589
2021-04-07,108689.6401342464
2021-04-08,119936.56072651672
2021-04-09,124328.66006810326
2021-04-10,130498.00247137641
2021-04-11,125237.41434229813
2021-04-12,132294.16995331598
2021-04-13,140877.4893056337
2021-04-14,145566.86754829055
2021-04-15,155574.78864598065
2021-04-16,181534.175739729
2021-04-17,166335.31960244387
2021-04-18,172711.76501717357
2021-04-19,182374.6445521336
2021-04-20,172675.60316118362
2021-04-21,165658.43496942904
2021-04-22,158722.4143676459
2021-04-23,154975.45328912025
2021-04-24,154755.89619220188
2021-04-25,155561.48105127583
2021-04-26,167866.59790010628
2021-04-27,180571.0824822582
2021-04-28,187308.53237930083
2021-04-29,188390.9387883052
2021-04-30,197734.55734402462
2021-05-01,211608.2334945468
2021-05-02,205868.5902725613
2021-05-03,224212.64896426193
2021-05-04,230437.7100994977
2021-05-05,263523.9815148104
2021-05-06,245613.81910911686
2021-05-07,263522.92621686164
2021-05-08,263421.0078698052
2021-05-09,253371.58376407245
2021-05-10,223461.6102709459
2021-05-11,244195.8668333904
2021-05-12,213814.60228390747
2021-05-13,232865.85479898853
2021-05-14,264337.6372784998
2021-05-15,256353.86758269303
2021-05-16,264641.6236744399
2021-05-17,256354.14554061554
2021-05-18,286407.43362861784
2021-05-19,200636.3151953127
2021-05-20,202125.53834637627
2021-05-21,202125.53834637627
2021-05-22,202259.04806412733
2021-05-23,201172.820980515
2021-05-24,199794.49442903433
2021-05-25,202010.7350164025
2021-05-26,202210.31300123394
2021-05-27,202053.7959810643
2021-05-28,203730.63450868873
2021-05-29,205191.45571208466
2021-05-30,203211.07883819347
2021-05-31,203651.72827049528
2021-06-01,202693.49226114847
2021-06-02,202980.43581327208
2021-06-03,199381.0754864194
2021-06-04,202088.60488962213
2021-06-05,201751.64377295002
2021-06-06,201655.66342181305
2021-06-07,201591.9010667994
2021-06-08,201119.64250279637
2021-06-09,201011.10918091415
2021-06-10,201682.7902750025
2021-06-11,200192.04403298782
2021-06-12,200774.84387600984
2021-06-13,199562.87981195
2021-06-14,202456.59218269767
2021-06-15,199960.06668816265
2021-06-16,193653.9542318376
2021-06-17,190187.0024849513
2021-06-18,188608.2040838493
2021-06-19,188286.8920782817
2021-06-20,188912.44197647335
2021-06-21,189467.79110225156
2021-06-22,189083.37742434113
