simulation,return_pct
0,6.215143970305755e+36
1,4.799337531753691e+31
2,7.532917671941557e+43
3,8.279290636044996e+30
4,7.51879429773863e+34
5,1.387440588528388e+34
6,2.990680295776467e+39
7,1.5299594718814198e+41
8,8.886718662278094e+43
9,4.018919894077714e+44
10,8.029448791585071e+34
11,1.5568814323839174e+38
12,1.0700079462640646e+36
13,2.2220581390624194e+38
14,3.738178369448041e+36
15,3.300656086112212e+32
16,7.7880416756873255e+37
17,1.130949625203656e+34
18,4.597068005036496e+34
19,1.0144095483717163e+38
20,4.328004575992368e+36
21,1.1270130576801347e+39
22,3.3349940104892242e+41
23,6.954352206437678e+34
24,1.070764683376349e+39
25,4.0861981848155226e+33
26,2.420678176296217e+37
27,3.1016967186294032e+28
28,4.87056124883927e+37
29,1.1940196522672087e+34
30,1.3641826232838891e+43
31,9.719633707872067e+40
32,2.4319097327643382e+35
33,1.5469394323021007e+34
34,4.799946442469447e+35
35,3.106246756994043e+26
36,3.336599534847722e+35
37,3.7978975015974166e+39
38,1.6717975465046688e+34
39,1.9752985723096897e+35
40,3.929058480670955e+42
41,2.049375289444514e+39
42,4.2669583629853364e+26
43,1.5497505675466357e+32
44,1.6641537877142087e+38
45,5.7385405573841935e+38
46,1.0433220399862541e+37
47,2.5756294766437945e+35
48,4.885143997585021e+38
49,3.97974063314418e+37
50,1.2501379044344341e+33
51,1.261505859116028e+34
52,1.9784663742413518e+36
53,8.358292208007254e+33
54,5.1183697953425403e+36
55,5.446492745917817e+36
56,8.107934272947523e+34
57,2.934364836888574e+33
58,2.2919750142791477e+37
59,1.7447216300467975e+33
60,3.337558180034614e+33
61,1.8671023907402707e+36
62,5.026151960585254e+41
63,1.8037955876649657e+28
64,2.5685889256171725e+27
65,1.1382782155945601e+36
66,4.772506720875047e+38
67,7.152791079508875e+41
68,1.0416024525938243e+34
69,7.505374914934128e+30
70,3.6033194254525483e+33
71,5.0830964112608596e+29
72,2.864024234347896e+41
73,8.478073844844414e+38
74,5.665060962229052e+37
75,3.958277333797658e+33
76,2.709524272214474e+38
