date,cash,positions,total
2014-01-02,11965.949486188034,87946.10440940257,99912.05389559061
2014-01-03,11965.949486188034,87857.31236684162,99823.26185302966
2014-01-06,11965.949486188034,88041.54819942845,100007.49768561649
2014-01-07,11965.949486188034,87936.32432277451,99902.27380896255
2014-01-08,11965.949486188034,88485.15015227108,100451.09963845911
2014-01-09,11965.949486188034,87903.14416191897,99869.09364810701
2014-01-10,11965.949486188034,87744.26820044094,99710.21768662898
2014-01-13,11965.949486188034,86369.29784747944,98335.24733366747
2014-01-14,11965.949486188034,88573.13295394454,100539.08244013258
2014-01-15,11965.949486188034,88933.93161640182,100899.88110258986
2014-01-16,11965.949486188034,88372.08862931706,100338.0381155051
2014-01-17,11965.949486188034,88239.44113254477,100205.39061873281
2014-01-21,11965.949486188034,89007.60594201437,100973.55542820241
2014-01-22,11965.949486188034,89579.46689572456,101545.4163819126
2014-01-23,11965.949486188034,91119.90598411934,103085.85547030738
2014-01-24,11965.949486188034,88504.59047127125,100470.53995745929
2014-01-27,11965.949486188034,87448.42866679444,99414.37815298248
2014-01-28,11965.949486188034,90066.75148738522,102032.70097357326
2014-01-29,11965.949486188034,88423.28656507719,100389.23605126522
2014-01-30,11965.949486188034,92377.37922107881,104343.32870726685
2014-01-31,11965.949486188034,90777.59941003553,102743.54889622357
2014-02-03,11965.949486188034,88864.16624663459,100830.11573282263
2014-02-04,11965.949486188034,89805.54669488066,101771.4961810687
2014-02-05,11965.949486188034,89680.94005547972,101646.88954166776
2014-02-06,11965.949486188034,90889.1530449384,102855.10253112644
2014-02-07,11965.949486188034,93764.40774652874,105730.35723271678
2014-02-10,11965.949486188034,93616.7076794859,105582.65716567394
2014-02-11,11965.949486188034,94818.79776319908,106784.74724938712
2014-02-12,11965.949486188034,94490.64120281026,106456.5906889983
2014-02-13,11965.949486188034,96467.03615704972,108432.98564323776
2014-02-14,11965.949486188034,96363.38143662219,108329.33092281023
2014-02-18,11965.949486188034,96534.0647654566,108500.01425164464
2014-02-19,11965.949486188034,95676.37284337357,107642.3223295616
2014-02-20,11965.949486188034,96967.7410356935,108933.69052188154
2014-02-21,11965.949486188034,96195.07394220706,108161.0234283951
2014-02-24,11965.949486188034,98221.49599933316,110187.4454855212
2014-02-25,11965.949486188034,98238.80105153396,110204.750537722
2014-02-26,11965.949486188034,98940.63488377973,110906.58436996776
2014-02-27,11965.949486188034,99264.7887378674,111230.73822405544
2014-02-28,11965.949486188034,98747.61055001948,110713.56003620752
2014-03-03,11965.949486188034,98078.95295245018,110044.90243863822
2014-03-04,11965.949486188034,100026.44884504045,111992.39833122848
2014-03-05,11965.949486188034,101009.7581166091,112975.70760279713
2014-03-06,11965.949486188034,100743.33195210129,112709.28143828933
2014-03-07,11965.949486188034,99995.30627158994,111961.25575777798
2014-03-10,11965.949486188034,100077.43124660119,112043.38073278923
2014-03-11,11965.949486188034,99023.07670803127,110989.0261942193
2014-03-12,11965.949486188034,99838.7486620945,111804.69814828254
2014-03-13,11965.949486188034,98335.32401171634,110301.27349790437
2014-03-14,11965.949486188034,97781.37403636509,109747.32352255312
2014-03-17,11965.949486188034,98689.06575611967,110655.01524230771
2014-03-18,11965.949486188034,99287.07711343654,111253.02659962457
2014-03-19,11965.949486188034,98755.57855757757,110721.5280437656
2014-03-20,11965.949486188034,98888.96859282824,110854.91807901628
2014-03-21,11965.949486188034,96745.77367763125,108711.72316381929
2014-03-24,11965.949486188034,93816.27012391576,105782.2196101038
2014-03-25,11965.949486188034,93840.78518741523,105806.73467360326
2014-03-26,11965.949486188034,91180.80105806826,103146.7505442563
2014-03-27,11965.949486188034,90847.32838686641,102813.27787305445
2014-03-28,11965.949486188034,90785.01592993173,102750.96541611977
2014-03-31,11965.949486188034,90931.6705666624,102897.62005285044
2014-04-01,12691.015633722163,91848.66680540793,104539.68243913009
2014-04-02,12691.015633722163,92422.46242993677,105113.47806365893
2014-04-03,12691.015633722163,91249.58452064666,103940.60015436882
2014-04-04,12691.015633722163,88452.45064285147,101143.46627657363
2014-04-07,12691.015633722163,87276.0217640666,99967.03739778875
2014-04-08,12691.015633722163,88309.9501046922,101000.96573841435
2014-04-09,12691.015633722163,91000.30867343282,103691.32430715498
2014-04-10,12691.015633722163,87575.61819377948,100266.63382750165
2014-04-11,12691.015633722163,86601.72809087478,99292.74372459695
2014-04-14,12691.015633722163,86609.27565438511,99300.29128810728
2014-04-15,12691.015633722163,86825.18290510424,99516.1985388264
2014-04-16,12691.015633722163,87701.32044260376,100392.33607632591
2014-04-17,12691.015633722163,88131.69825153347,100822.71388525562
2014-04-21,12691.015633722163,89657.32554046469,102348.34117418685
2014-04-22,12691.015633722163,91773.15718274534,104464.1728164675
2014-04-23,12691.015633722163,91256.34300255124,103947.35863627339
2014-04-24,12691.015633722163,91124.21585321284,103815.231486935
2014-04-25,12691.015633722163,88267.75653264846,100958.77216637062
2014-04-28,12691.015633722163,86997.91852626338,99688.93415998554
2014-04-29,12691.015633722163,88599.7127928403,101290.72842656248
2014-04-30,12691.015633722163,89679.82064983336,102370.83628355552
2014-05-01,12691.015633722163,90402.0159248087,103093.03155853087
2014-05-02,12691.015633722163,90188.58061868435,102879.59625240651
2014-05-05,12691.015633722163,90983.71666925724,103674.73230297939
2014-05-06,12691.015633722163,90331.90063334507,103022.91626706722
2014-05-07,12691.015633722163,89490.46931466198,102181.48494838414
2014-05-08,12691.015633722163,88353.88470157362,101044.9003352958
2014-05-09,12691.015633722163,88312.18161944691,101003.19725316908
2014-05-12,12691.015633722163,90266.85761101713,102957.87324473928
2014-05-13,12691.015633722163,90227.30377394918,102918.31940767134
2014-05-14,12691.015633722163,89923.90579174043,102614.92142546258
2014-05-15,12691.015633722163,89014.14576241428,101705.16139613645
2014-05-16,12691.015633722163,89629.11330528845,102320.12893901061
2014-05-19,12691.015633722163,90805.0790477157,103496.09468143785
2014-05-20,12691.015633722163,89526.71062687738,102217.72626059953
2014-05-21,12691.015633722163,90738.47730846841,103429.49294219058
2014-05-22,12691.015633722163,91256.37030339969,103947.38593712184
2014-05-23,12691.015633722163,92455.91435689811,105146.92999062027
2014-05-27,12691.015633722163,93473.81341774814,106164.8290514703
2014-05-28,12691.015633722163,93226.10616434367,105917.12179806584
2014-05-29,12691.015633722163,93968.51681558404,106659.53244930619
2014-05-30,12691.015633722163,93730.37186698723,106421.38750070939
2014-06-02,12691.015633722163,93808.87075755496,106499.88639127713
2014-06-03,12691.015633722163,93785.92437960726,106476.94001332941
2014-06-04,12691.015633722163,93901.69203685096,106592.70767057312
2014-06-05,12691.015633722163,94371.01817277519,107062.03380649735
2014-06-06,12691.015633722163,94289.65178530928,106980.66741903144
2014-06-09,12691.015633722163,94282.9185777364,106973.93421145857
2014-06-10,12691.015633722163,94935.59961055122,107626.61524427339
2014-06-11,12691.015633722163,95395.51381490428,108086.52944862645
2014-06-12,12691.015633722163,95083.33429347913,107774.34992720129
2014-06-13,12691.015633722163,95084.71255510487,107775.72818882702
2014-06-16,12691.015633722163,95686.22468275853,108377.24031648069
2014-06-17,12691.015633722163,96550.28333863059,109241.29897235276
2014-06-18,12691.015633722163,96668.1072197273,109359.12285344946
2014-06-19,12691.015633722163,95929.79405732469,108620.80969104686
2014-06-20,12691.015633722163,96208.33282596235,108899.34845968452
2014-06-23,12691.015633722163,96434.2294075906,109125.24504131277
2014-06-24,12691.015633722163,95599.73496720169,108290.75060092384
2014-06-25,12691.015633722163,97017.07784430477,109708.09347802695
2014-06-26,12691.015633722163,96368.83764369003,109059.85327741218
2014-06-27,12691.015633722163,96305.56942617359,108996.58505989576
2014-06-30,12691.015633722163,96890.44558012053,109581.4612138427
2014-07-01,15147.653053126145,95556.77304585915,110704.4260989853
2014-07-02,15147.653053126145,95116.27236139773,110263.92541452387
2014-07-03,15147.653053126145,95169.345341025,110316.99839415113
2014-07-07,15147.653053126145,94870.76648491021,110018.41953803637
2014-07-08,15147.653053126145,93827.71260269657,108975.36565582271
2014-07-09,15147.653053126145,94837.42121209324,109985.07426521939
2014-07-10,15147.653053126145,94278.11668588278,109425.76973900892
2014-07-11,15147.653053126145,94420.50835474575,109568.1614078719
2014-07-14,15147.653053126145,96664.94031652664,111812.59336965278
2014-07-15,15147.653053126145,95144.54307899397,110292.19613212012
2014-07-16,15147.653053126145,95201.33106825035,110348.9841213765
2014-07-17,15147.653053126145,93726.03451160816,108873.68756473431
2014-07-18,15147.653053126145,92385.22558888224,107532.87864200838
2014-07-21,15147.653053126145,92304.76534174178,107452.41839486791
2014-07-22,15147.653053126145,92506.72133826473,107654.37439139088
2014-07-23,15147.653053126145,92281.46023533105,107429.11328845719
2014-07-24,15147.653053126145,91952.12834977101,107099.78140289715
2014-07-25,15147.653053126145,91228.1611517831,106375.81420490926
2014-07-28,15147.653053126145,91591.96286365634,106739.6159167825
2014-07-29,15147.653053126145,91538.19396916515,106685.8470222913
2014-07-30,15147.653053126145,92333.23696695128,107480.89002007744
2014-07-31,15147.653053126145,90757.94685632772,105905.59990945386
2014-08-01,15147.653053126145,92279.81885342208,107427.47190654822
2014-08-04,15147.653053126145,92975.77342876466,108123.42648189081
2014-08-05,15147.653053126145,92780.96859238022,107928.62164550635
2014-08-06,15147.653053126145,93894.71781325738,109042.37086638351
2014-08-07,15147.653053126145,93725.81582567602,108873.46887880217
2014-08-08,15147.653053126145,94841.84294554981,109989.49599867596
2014-08-11,15147.653053126145,96119.16923737884,111266.82229050499
2014-08-12,15147.653053126145,96002.4734865576,111150.12653968376
2014-08-13,15147.653053126145,96784.66450652231,111932.31755964845
2014-08-14,15147.653053126145,97236.66882259236,112384.32187571851
2014-08-15,15147.653053126145,97861.38545636974,113009.03850949588
2014-08-18,15147.653053126145,98669.02582957028,113816.67888269643
2014-08-19,15147.653053126145,99045.36911495688,114193.02216808303
2014-08-20,15147.653053126145,99158.75856018823,114306.41161331438
2014-08-21,15147.653053126145,98879.28806739917,114026.94112052533
2014-08-22,15147.653053126145,99192.78663834531,114340.43969147146
2014-08-25,15147.653053126145,99397.64340351503,114545.29645664117
2014-08-26,15147.653053126145,99546.92364413924,114694.57669726538
2014-08-27,15147.653053126145,99681.58229356566,114829.2353466918
2014-08-28,15147.653053126145,99817.37520666045,114965.0282597866
2014-08-29,15147.653053126145,102170.62280947482,117318.27586260097
2014-09-02,15147.653053126145,104290.60297399331,119438.25602711947
2014-09-03,15147.653053126145,103633.73322259635,118781.3862757225
2014-09-04,15147.653053126145,104195.21853325299,119342.87158637913
2014-09-05,15147.653053126145,104148.19804015203,119295.85109327818
2014-09-08,15147.653053126145,104293.72329627334,119441.37634939948
2014-09-09,15147.653053126145,103627.80701346794,118775.4600665941
2014-09-10,15147.653053126145,104732.1569920878,119879.81004521393
2014-09-11,15147.653053126145,104579.80101868308,119727.45407180922
2014-09-12,15147.653053126145,103608.40357481917,118756.0566279453
2014-09-15,15147.653053126145,100847.44739439564,115995.10044752178
2014-09-16,15147.653053126145,101612.1951152354,116759.84816836155
2014-09-17,15147.653053126145,101908.66718816172,117056.32024128787
2014-09-18,15147.653053126145,103168.66728789793,118316.32034102408
2014-09-19,15147.653053126145,102135.5868175258,117283.23987065195
2014-09-22,15147.653053126145,100539.22867934588,115686.88173247201
2014-09-23,15147.653053126145,100627.49163465554,115775.14468778169
2014-09-24,15147.653053126145,101262.84495098346,116410.4980041096
2014-09-25,15147.653053126145,98745.03285673578,113892.68590986193
2014-09-26,15147.653053126145,99446.9307925393,114594.58384566545
2014-09-29,15147.653053126145,98862.88796475843,114010.54101788456
2014-09-30,15147.653053126145,98230.62984437641,113378.28289750256
2014-10-01,111808.72985875569,0.0,111808.72985875569
2014-10-02,111808.72985875569,0.0,111808.72985875569
2014-10-03,111808.72985875569,0.0,111808.72985875569
2014-10-06,111808.72985875569,0.0,111808.72985875569
2014-10-07,111808.72985875569,0.0,111808.72985875569
2014-10-08,111808.72985875569,0.0,111808.72985875569
2014-10-09,111808.72985875569,0.0,111808.72985875569
2014-10-10,111808.72985875569,0.0,111808.72985875569
2014-10-13,111808.72985875569,0.0,111808.72985875569
2014-10-14,111808.72985875569,0.0,111808.72985875569
2014-10-15,111808.72985875569,0.0,111808.72985875569
2014-10-16,111808.72985875569,0.0,111808.72985875569
2014-10-17,111808.72985875569,0.0,111808.72985875569
2014-10-20,111808.72985875569,0.0,111808.72985875569
2014-10-21,111808.72985875569,0.0,111808.72985875569
2014-10-22,111808.72985875569,0.0,111808.72985875569
2014-10-23,111808.72985875569,0.0,111808.72985875569
2014-10-24,111808.72985875569,0.0,111808.72985875569
2014-10-27,111808.72985875569,0.0,111808.72985875569
2014-10-28,111808.72985875569,0.0,111808.72985875569
2014-10-29,111808.72985875569,0.0,111808.72985875569
2014-10-30,111808.72985875569,0.0,111808.72985875569
2014-10-31,111808.72985875569,0.0,111808.72985875569
2014-11-03,111808.72985875569,0.0,111808.72985875569
2014-11-04,111808.72985875569,0.0,111808.72985875569
2014-11-05,111808.72985875569,0.0,111808.72985875569
2014-11-06,111808.72985875569,0.0,111808.72985875569
2014-11-07,111808.72985875569,0.0,111808.72985875569
2014-11-10,111808.72985875569,0.0,111808.72985875569
2014-11-11,111808.72985875569,0.0,111808.72985875569
2014-11-12,111808.72985875569,0.0,111808.72985875569
2014-11-13,111808.72985875569,0.0,111808.72985875569
2014-11-14,111808.72985875569,0.0,111808.72985875569
2014-11-17,111808.72985875569,0.0,111808.72985875569
2014-11-18,111808.72985875569,0.0,111808.72985875569
2014-11-19,111808.72985875569,0.0,111808.72985875569
2014-11-20,111808.72985875569,0.0,111808.72985875569
2014-11-21,111808.72985875569,0.0,111808.72985875569
2014-11-24,111808.72985875569,0.0,111808.72985875569
2014-11-25,111808.72985875569,0.0,111808.72985875569
2014-11-26,111808.72985875569,0.0,111808.72985875569
2014-11-28,111808.72985875569,0.0,111808.72985875569
2014-12-01,111808.72985875569,0.0,111808.72985875569
2014-12-02,111808.72985875569,0.0,111808.72985875569
2014-12-03,111808.72985875569,0.0,111808.72985875569
2014-12-04,111808.72985875569,0.0,111808.72985875569
2014-12-05,111808.72985875569,0.0,111808.72985875569
2014-12-08,111808.72985875569,0.0,111808.72985875569
2014-12-09,111808.72985875569,0.0,111808.72985875569
2014-12-10,111808.72985875569,0.0,111808.72985875569
2014-12-11,111808.72985875569,0.0,111808.72985875569
2014-12-12,111808.72985875569,0.0,111808.72985875569
2014-12-15,111808.72985875569,0.0,111808.72985875569
2014-12-16,111808.72985875569,0.0,111808.72985875569
2014-12-17,111808.72985875569,0.0,111808.72985875569
2014-12-18,111808.72985875569,0.0,111808.72985875569
2014-12-19,111808.72985875569,0.0,111808.72985875569
2014-12-22,111808.72985875569,0.0,111808.72985875569
2014-12-23,111808.72985875569,0.0,111808.72985875569
2014-12-24,111808.72985875569,0.0,111808.72985875569
2014-12-26,111808.72985875569,0.0,111808.72985875569
2014-12-29,111808.72985875569,0.0,111808.72985875569
2014-12-30,111808.72985875569,0.0,111808.72985875569
2014-12-31,111808.72985875569,0.0,111808.72985875569
2015-01-02,19324.144610190247,92392.19305550994,111716.33766570018
2015-01-05,19324.144610190247,90774.55109552386,110098.69570571411
2015-01-06,19324.144610190247,89592.86512601314,108917.00973620338
2015-01-07,19324.144610190247,91965.11932825414,111289.26393844438
2015-01-08,19324.144610190247,94352.14374543297,113676.28835562323
2015-01-09,19324.144610190247,93467.87703677671,112792.02164696695
2015-01-12,19324.144610190247,92855.82103810766,112179.96564829792
2015-01-13,19324.144610190247,92274.97300541928,111599.11761560952
2015-01-14,19324.144610190247,92135.95295756201,111460.09756775227
2015-01-15,19324.144610190247,91032.7986647438,110356.94327493405
2015-01-16,19324.144610190247,93210.1189939076,112534.26360409785
2015-01-20,19324.144610190247,93117.10227616486,112441.2468863551
2015-01-21,19324.144610190247,93656.44708294448,112980.59169313472
2015-01-22,19324.144610190247,94877.3253220937,114201.46993228394
2015-01-23,19324.144610190247,94866.82583335208,114190.97044354232
2015-01-26,19324.144610190247,94866.73369647311,114190.87830666336
2015-01-27,19324.144610190247,93722.325912057,113046.47052224725
2015-01-28,19324.144610190247,92616.05512805672,111940.19973824697
2015-01-29,19324.144610190247,93977.52001400308,113301.66462419333
2015-01-30,19324.144610190247,91717.32319747827,111041.46780766852
